external_exercise_id,title,primary_muscles,secondary_muscles,equipment,movement_pattern,body_position,difficulty,sanitized_metadata
c0c8d00e-5640-462e-8cc3-422a14deb2fc,Side plank up and down (right),[core],[],[bodyweight],core,NULL,NULL,map[category:Core difficulty:<nil> equipment:[bodyweight] exerciseTypes:[core strength isometric] slug:side-plank-up-and-down-right]
c1b55b30-7913-4590-87e1-6aac94b23df6,Sitting Pelvic tilts,[lower_back],[obliques rectus_abdominis spinal_erectors],[],NULL,NULL,beginner,map[category:mobility difficulty:beginner equipment:[chair] exerciseTypes:[mobility rehabilitation core] slug:sitting-pelvic-tilts-08b48b]
c2266a05-5960-489a-aa74-90ac93c376b1,Toes to Sky,[lower_abs],[hip_flexors obliques quads],[bodyweight],NULL,NULL,beginner,map[category:core difficulty:beginner equipment:[bodyweight] exerciseTypes:[core strength calisthenics] slug:toes-to-sky-a5bb0a]
c2410e7d-79c4-4593-82df-c42e8fd3450e,Push up burpees,[chest],[],[bodyweight],horizontal_push,NULL,intermediate,map[category:Chest difficulty:intermediate equipment:[bodyweight] exerciseTypes:[strength plyometric cardio] slug:push-up-burpees]
c2595904-d93e-4807-a7fe-70019fce408f,Seated Cable Row close V bar,[back],[rear_deltoids biceps forearms erector_spinae],[cable],horizontal_pull,NULL,beginner,map[category:strength difficulty:beginner equipment:[cable] exerciseTypes:[strength functional] slug:seated-cable-row-close-v-bar-bccf4f]
c265b4e3-ab8d-4141-9d7e-462e2c329d1b,Reverse fly plank to plank hop,[shoulders],[],[bodyweight],core,NULL,NULL,map[category:Core difficulty:<nil> equipment:[bodyweight] exerciseTypes:[strength plyometric core] slug:reverse-fly-plank-to-plank-hop]
c2a135e7-1383-47c1-9757-4868ae9a8c55,Bear plank Shoulder taps,[core],[],[bodyweight],core,NULL,NULL,map[category:Core difficulty:<nil> equipment:[bodyweight] exerciseTypes:[core calisthenics isometric] slug:bear-plank-shoulder-taps]
c2b2d15f-5841-45a2-87e4-503101f3422e,Plank to knee tap,[core],[],[bodyweight],core,NULL,NULL,map[category:Core difficulty:<nil> equipment:[bodyweight] exerciseTypes:[core functional] slug:plank-to-knee-tap]
c2fbe7d4-e9a5-41f8-b8eb-d903948d268b,1 Leg Left Right Hop over Cone,[quads],[gastrocnemius soleus glute_med tibialis_anterior],[],NULL,NULL,intermediate,map[category:plyometric difficulty:intermediate equipment:[cone] exerciseTypes:[plyometric cardio balance] slug:1-leg-left-right-hop-over-cone-36621e]
c3304243-1d9e-41b1-a01c-9ddd8f9edff8,Kettlebell Turkish Get-Up (Lunge style),[quads],[],[],knee_dominant,NULL,NULL,map[category:Core difficulty:<nil> equipment:[kettlebell] exerciseTypes:[strength functional core] slug:kettlebell-turkish-get-up-lunge-style]
c38b24ea-e65d-4561-a0ca-8d578fa6bd32,Goddess pose,[glutes],[],[bodyweight],NULL,NULL,beginner,map[category:YOGA difficulty:beginner equipment:[bodyweight] exerciseTypes:[yoga stretching] slug:goddess-pose]
c3d00969-0a33-4a3f-b603-938c1014ca9f,Dumbbell Thruster,[quads],[],[dumbbell],NULL,NULL,intermediate,map[category:Legs difficulty:intermediate equipment:[dumbbell] exerciseTypes:[strength functional] slug:dumbbell-thruster]
c424ec91-5260-4a23-800d-1a5e140f8320,Butt bridges,[glutes],[],[bodyweight],NULL,NULL,intermediate,map[category:Legs difficulty:intermediate equipment:[bodyweight] exerciseTypes:[strength calisthenics] slug:butt-bridges]
c490cf34-6f30-421c-9dbb-d30b5f796efd,Sphinx pose,[back],[],[bodyweight],NULL,NULL,beginner,map[category:YOGA difficulty:beginner equipment:[bodyweight] exerciseTypes:[yoga stretching] slug:sphinx-pose]
c4d91f02-e796-4992-a08d-531b1d4bb16b,Bear crawl shoulder tap to pike push up,[chest],[],[bodyweight],horizontal_push,NULL,intermediate,map[category:Chest difficulty:intermediate equipment:[bodyweight] exerciseTypes:[strength calisthenics functional] slug:bear-crawl-shoulder-tap-to-pike-push-up]
c4f2aff0-d474-473a-ad7d-559033aac8b3,Bridge march,[glutes],[erector_spinae quads transverse_abdominis],[bodyweight],NULL,NULL,intermediate,map[category:core difficulty:intermediate equipment:[bodyweight] exerciseTypes:[strength core functional] slug:bridge-march-4dfe22]
c5a9becd-0051-47b0-9e75-ed52fedd6d44,One-Arm Dumbbell Row bench,[back],[],[dumbbell bench],horizontal_pull,NULL,intermediate,map[category:Back difficulty:intermediate equipment:[dumbbell] exerciseTypes:[strength] slug:one-arm-dumbbell-row-bench]
c5f49fc9-4673-4cae-8a12-6c5a4e4934a4,Push-Up (Decline),[bodyweight],[triceps_long_head front_deltoids abs],[bodyweight],horizontal_push,NULL,intermediate,map[category:strength difficulty:intermediate equipment:[bodyweight] exerciseTypes:[calisthenics strength] slug:push-up-decline-817504]
